,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2013-10-09,-0.57958,-24.09907095,696935.0405,61925.93,758860.9705,-138,131,0,69.23,0.0,-110.4,-136,-65,0,47.68,0.0,-4.08,-644,24345,24345,26.25,3310.92,-5777.62,-577,-105,-105,50.23,18.06,96.3
2013-10-08,1.098998,-23.51949095,46079.0805,705909.45,751988.5305,-138,74,0,69.99,0.0,133.86,-136,-29,-29,48.8,3.48,138.63,-24989,24473,0,26.63,0.0,10245.49,-472,40,0,51.18,0.0,472.0
2013-10-07,0.9021958,-24.61848895,46928.0605,704779.1,751707.1605,-138,27,0,69.51,0.0,-93.84,-107,-36,-36,49.04,5.112,62.848,-24989,24489,0,26.64,0.0,8746.15,-472,81,0,51.34,0.0,306.8
2013-10-04,-0.4139437,-25.52068475,44492.8525,705116.54,749609.3925,-138,-48,-48,69.12,8.784,2.376,-71,-39,-39,48.87,6.123,-53.623,-24989,24576,0,26.73,0.0,-3748.35,-472,161,0,51.17,0.0,-339.84
2013-10-03,1.107703,-25.10674105,30688.2695,709414.44,740102.7095,-90,2,0,70.07,0.0,79.2,-32,9,0,49.06,0.0,11.84,-24989,24793,0,27.1,0.0,10745.27,-472,331,0,51.56,0.0,240.72
2013-10-02,1.3614633,-26.21444405,9305.7695,720105.69,729411.4595,-90,-21,-21,69.38,3.717,-31.347,-32,18,0,48.87,0.0,-3.84,-24989,24827,0,27.53,0.0,13494.06,-472,362,0,51.59,0.0,155.76
2013-10-01,-1.042784,-27.57590735,23765.8865,712149.0,735914.8865,-69,-79,0,68.35,0.0,-110.4,-32,22,0,48.52,0.0,-15.04,-24989,24780,0,27.29,0.0,-9995.6,-472,336,0,50.7,0.0,-306.8
2013-09-30,1.1295415,-26.53312335,22981.7265,712541.08,735522.8065,-69,70,70,68.18,8.995,104.255,-32,29,0,48.61,0.0,16.64,-24989,24909,0,27.3,0.0,10995.16,-472,422,0,51.02,0.0,179.36
2013-09-27,0.3221484,-27.66266485,1156.0615,725844.71,727000.7715,-139,-152,-152,69.11,20.216,-3.916,-32,30,0,49.18,0.0,9.6,-24989,24853,0,27.62,0.0,2998.68,-472,387,0,51.84,0.0,217.12
2013-09-26,-1.8224058,-27.98481325,24231.8375,709064.57,734199.3875,13,-268,-268,69.43,42.478,137.752,-32,32,0,49.69,0.0,2.88,-24989,25000,0,27.33,0.0,-18241.97,-472,478,0,51.96,0.0,-122.72
2013-09-25,6.879789,-26.16240745,-47938.1245,735867.17,707259.0355,281,207,0,69.89,0.0,-303.48,-32,48,0,49.35,0.0,-9.6,-24989,25381,0,28.41,0.0,69219.53,-472,695,0,51.59,0.0,-108.56
2013-09-24,-0.85276,-33.04219645,-106917.6045,765356.91,678072.7755,281,472,0,70.7,0.0,-61.82,-32,49,0,49.14,0.0,-2.56,-24989,25558,0,29.59,0.0,-8496.26,-472,796,0,51.61,0.0,33.04
2013-09-23,0.193443,-32.18943645,-108729.5845,766262.9,677228.6055,281,519,0,70.87,0.0,932.92,-32,53,0,49.6,0.0,25.28,-24989,25587,0,29.62,0.0,749.67,-472,796,0,51.91,0.0,226.56
