,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2014-04-17,-0.630985,-54.35492065,462370.3435,456450.7935,-6505,0.0,0,53.74,0.0,-6309.85,0,0.0,0,74.29,0.0,0.0,0,0.0,0,8.72,0.0,0.0,0,0.0,0,34.22,0.0,0.0,0,0.0,0,25.84,0.0,0.0
2014-04-16,-0.370785,-53.72393565,463606.2935,462760.6435,-6505,0.0,0,53.55,0.0,-3707.85,0,0.0,0,74.01,0.0,0.0,0,0.0,0,8.62,0.0,0.0,0,0.0,0,34.01,0.0,0.0,0,0.0,0,25.55,0.0,0.0
2014-04-15,-0.29923,-53.35315065,468224.8435,466468.4935,-6505,0.0,0,52.84,0.0,-2992.3,0,0.0,0,74.32,0.0,-0.0,0,0.0,0,8.61,0.0,-0.0,0,0.0,0,34.51,0.0,-0.0,0,0.0,0,24.94,0.0,0.0
2014-04-14,0.07806,-53.05392065,465948.0935,469460.7935,-6505,0.0,0,53.19,0.0,780.6,0,0.0,0,74.56,0.0,0.0,0,0.0,0,8.66,0.0,-0.0,0,0.0,0,34.87,0.0,0.0,0,0.0,0,25.49,0.0,0.0
2014-04-11,0.83264,-53.13198065,462695.5935,468680.1935,-6505,0.0,0,53.69,0.0,8326.4,0,0.0,0,74.14,0.0,0.0,0,0.0,0,8.75,0.0,-0.0,0,0.0,0,34.68,0.0,-0.0,0,0.0,0,25.24,0.0,-0.0
2014-04-10,0.98876,-53.96462065,450466.1935,460353.7935,-6505,0.0,0,55.57,0.0,9887.6,0,0.0,0,75.81,0.0,0.0,0,0.0,0,9.04,0.0,-0.0,0,0.0,0,35.93,0.0,0.0,0,0.0,0,26.21,0.0,-0.0
2014-04-09,-0.591955,-54.95338065,451311.8435,450466.1935,-6505,0.0,0,55.44,0.0,-5919.55,0,0.0,0,74.66,0.0,0.0,0,0.0,0,9.05,0.0,0.0,0,0.0,0,35.48,0.0,0.0,0,0.0,0,25.09,0.0,0.0
2014-04-08,-0.201655,-54.36142565,459312.9935,456385.7435,-6505,0.0,0,54.21,0.0,-2016.55,0,0.0,0,75.03,0.0,0.0,0,0.0,0,8.99,0.0,0.0,0,0.0,0,35.61,0.0,0.0,0,0.0,0,24.9,0.0,0.0
2014-04-07,0.79361,-54.15977065,450531.2435,458402.2935,-6505,0.0,0,55.56,0.0,7936.1,0,0.0,0,75.43,0.0,-0.0,0,0.0,0,9.11,0.0,-0.0,0,0.0,0,36.29,0.0,-0.0,0,0.0,0,24.98,0.0,-0.0
2014-04-04,0.670015,-54.95338065,440513.5435,450466.1935,-6505,0.0,0,57.1,0.0,6700.15,0,0.0,0,77.12,0.0,0.0,0,0.0,0,9.25,0.0,0.0,0,0.0,0,37.39,0.0,0.0,0,0.0,0,25.7,0.0,0.0
2014-04-03,0.045535,-55.62339565,442660.1935,443766.0435,-6505,0.0,0,56.77,0.0,455.35,0,0.0,0,77.34,0.0,-0.0,0,0.0,0,9.23,0.0,0.0,0,0.0,0,36.92,0.0,0.0,0,0.0,0,25.92,0.0,-0.0
2014-04-02,-0.201655,-55.66893065,444936.9435,443310.6935,-6505,0.0,0,56.42,0.0,-2016.55,0,0.0,0,77.48,0.0,0.0,0,0.0,0,9.31,0.0,0.0,0,0.0,0,36.57,0.0,0.0,0,0.0,0,26.0,0.0,0.0
2014-04-01,-0.28622,-55.46727565,446368.0435,445327.2435,-6505,0.0,0,56.2,0.0,-2862.2,0,0.0,0,76.82,0.0,0.0,0,0.0,0,9.28,0.0,0.0,0,0.0,0,35.7,0.0,0.0,0,0.0,0,26.05,0.0,0.0
2014-03-31,-0.800115,-55.18105565,454369.1935,448189.4435,-6505,0.0,0,54.97,0.0,-8001.15,0,0.0,0,77.03,0.0,0.0,0,0.0,0,9.16,0.0,0.0,0,0.0,0,35.12,0.0,0.0,0,0.0,0,25.58,0.0,0.0
2014-03-28,0.0,-54.38094065,455149.7935,456190.5935,-6505,0.0,0,54.85,0.0,0.0,0,0.0,0,76.9,0.0,0.0,0,0.0,0,9.0,0.0,-0.0,0,0.0,0,34.74,0.0,0.0,0,0.0,0,25.75,0.0,-0.0
2014-03-27,0.31224,-54.38094065,450271.0435,456190.5935,-6505,0.0,0,55.6,0.0,3122.4,0,0.0,0,77.14,0.0,0.0,0,0.0,0,9.07,0.0,0.0,0,0.0,0,35.14,0.0,0.0,0,0.0,0,25.91,0.0,-0.0
2014-03-26,-0.006505,-54.69318065,451572.0435,453068.1935,-6505,0.0,0,55.4,0.0,-65.05,0,0.0,0,78.07,0.0,0.0,0,0.0,0,9.09,0.0,0.0,0,0.0,0,36.1,0.0,0.0,0,0.0,0,27.62,0.0,0.0
2014-03-25,0.06505,-54.68667565,450921.5435,453133.2435,-6505,0.0,0,55.5,0.0,650.5,0,0.0,0,77.36,0.0,0.0,0,0.0,0,8.92,0.0,0.0,0,0.0,0,36.21,0.0,0.0,0,0.0,0,28.93,0.0,0.0
2014-03-24,0.539915,-54.75172565,447148.6435,452482.7435,-6505,0.0,0,56.08,0.0,5399.15,0,0.0,0,76.92,0.0,0.0,0,0.0,0,8.94,0.0,0.0,0,0.0,0,36.64,0.0,-0.0,0,0.0,0,28.45,0.0,0.0
2014-03-21,0.396805,-55.29164065,439993.1435,447083.5935,-6505,0.0,0,57.18,0.0,3968.05,0,0.0,0,75.99,0.0,0.0,0,0.0,0,8.99,0.0,-0.0,0,0.0,0,37.0,0.0,0.0,0,0.0,0,28.97,0.0,-0.0
2014-03-20,-0.045535,-55.68844565,444156.3435,443115.5435,-6505,0.0,0,56.54,0.0,-455.35,0,0.0,0,75.7,0.0,-0.0,0,0.0,0,8.92,0.0,0.0,0,0.0,0,36.87,0.0,0.0,0,0.0,0,30.72,0.0,0.0
2014-03-19,0.10408,-55.64291065,442985.4435,443570.8935,-6505,0.0,0,56.72,0.0,1040.8,0,0.0,0,76.04,0.0,0.0,0,0.0,0,8.87,0.0,0.0,0,0.0,0,36.83,0.0,0.0,0,0.0,0,31.06,0.0,0.0
2014-03-18,-0.643995,-55.74699065,447864.1935,442530.0935,-6505,0.0,0,55.97,0.0,-6439.95,0,0.0,0,75.13,0.0,0.0,0,0.0,0,8.8,0.0,0.0,0,0.0,0,36.51,0.0,0.0,0,0.0,0,30.55,0.0,0.0
2014-03-17,-0.23418,-55.10299565,449750.6435,448970.0435,-6505,0.0,0,55.68,0.0,-2341.8,0,0.0,0,75.39,0.0,0.0,0,0.0,0,8.83,0.0,0.0,0,0.0,0,36.5,0.0,0.0,0,0.0,0,30.57,0.0,0.0
2014-03-14,0.266705,-54.86881565,450205.9935,451311.8435,-6505,0.0,0,55.61,0.0,2667.05,0,0.0,0,75.54,0.0,-0.0,0,0.0,0,8.79,0.0,0.0,0,0.0,0,36.36,0.0,0.0,0,0.0,0,30.26,0.0,0.0
2014-03-13,0.787105,-55.13552065,440123.2435,448644.7935,-6505,0.0,0,57.16,0.0,7871.05,0,0.0,0,76.78,0.0,0.0,0,0.0,0,8.98,0.0,0.0,0,0.0,0,36.8,0.0,0.0,0,0.0,0,30.73,0.0,0.0
2014-03-12,-0.1301,-55.92262565,444286.4435,440773.7435,-6505,0.0,0,56.52,0.0,-1301.0,0,0.0,0,76.36,0.0,0.0,0,0.0,0,8.75,0.0,0.0,0,0.0,0,36.11,0.0,0.0,0,0.0,0,30.26,0.0,0.0
2014-03-11,0.839145,-55.79252565,433162.8935,442074.7435,-6505,0.0,0,58.23,0.0,8391.45,0,0.0,0,76.49,0.0,0.0,0,0.0,0,8.79,0.0,0.0,0,0.0,0,36.5,0.0,0.0,0,0.0,0,31.03,0.0,0.0
2014-03-10,0.175635,-56.63167065,432772.5935,433683.2935,-6505,0.0,0,58.29,0.0,1756.35,0,0.0,0,75.48,0.0,0.0,0,0.0,0,8.81,0.0,0.0,0,0.0,0,36.65,0.0,-0.0,0,0.0,0,30.79,0.0,0.0
2014-03-07,0.227675,-56.80730565,427763.7435,431926.9435,-6505,0.0,0,59.06,0.0,2276.75,0,0.0,0,75.87,0.0,0.0,0,0.0,0,8.97,0.0,-0.0,0,0.0,0,37.15,0.0,0.0,0,0.0,0,31.0,0.0,0.0
2014-03-06,-0.630985,-57.03498065,432122.0935,429650.1935,-6505,0.0,0,58.39,0.0,-6309.85,0,0.0,0,76.11,0.0,0.0,0,0.0,0,9.05,0.0,0.0,0,0.0,0,36.35,0.0,0.0,0,0.0,0,30.7,0.0,0.0
2014-03-05,-0.01301,-56.40399565,436545.4935,435960.0435,-6505,0.0,0,57.71,0.0,-130.1,0,0.0,0,75.85,0.0,0.0,0,0.0,0,8.95,0.0,0.0,0,0.0,0,36.36,0.0,-0.0,0,0.0,0,30.37,0.0,0.0
2014-03-04,-0.6956234,-56.39098565,439732.9435,436090.1435,-6505,-12.0,-12,57.22,2.004,-6956.234,0,0.0,0,75.86,0.0,0.0,0,0.0,0,8.85,0.0,0.0,0,0.0,0,36.2,0.0,0.0,0,0.0,0,29.71,0.0,0.0
2014-03-03,0.1471628,-55.69536225,446877.2475,443046.3775,-6493,64.0,64,56.12,8.672,1471.628,0,0.0,0,74.77,0.0,0.0,0,0.0,0,8.58,0.0,0.0,0,0.0,0,35.8,0.0,-0.0,0,0.0,0,28.62,0.0,0.0
2014-02-28,-0.3741489,-55.84252505,444722.1095,441574.7495,-6557,-62.0,-62,56.45,9.579,-3741.489,0,0.0,0,75.58,0.0,0.0,0,0.0,0,8.97,0.0,0.0,0,0.0,0,36.17,0.0,-0.0,0,0.0,0,28.1,0.0,0.0
2014-02-27,0.4804395,-55.46837615,441029.5385,445316.2385,-6495,30.0,30,57.02,4.305,4804.395,0,0.0,0,73.88,0.0,0.0,0,0.0,0,8.8,0.0,0.0,0,0.0,0,35.94,0.0,0.0,0,0.0,0,27.82,0.0,0.0
